_id,city,cloudiness,co,date,delay,event_code,event_desc,feels_like,gb-defra-index,hour,humidity,iconCategory,latitude,length,longitude,magnitudeOfDelay,minute,o3,pm10,pm2_5,pollution_level,pressure,so2,temperature,us-epa-index,uv,visibility,weather_desc,weather_main,wind_deg,wind_speed
e8375b1804c7e6a24a296d6bbbe59c81,ho chi minh city,40,3516.85,2025-01-07,131.0,101,Stationary traffic,307.32,10,8,66,6,10.7626,223.0193248221,106.6602,3,26,42.0,155.03,153.365,High,1008,93.425,303.18,5,8.0,10000,scattered clouds,Clouds,160,4.12
0658e472002cc007b1ba4db240af77a1,ha noi,100,2741.7,2025-01-07,145.0,101,Stationary traffic,294.78,10,8,53,6,21.0285,111.3497821334,105.8048,3,54,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,133,2.5
37e6f26aa521a176d9a7c81a2e12b63a,ha noi,100,2741.7,2025-01-07,112.0,108,Queuing traffic,294.73,10,8,51,6,21.0285,501.728247912,105.8048,2,31,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,131,2.14
bc4b3850c8d3b3a4a406b6ede4fd7ba1,ha noi,100,2741.7,2025-01-07,76.0,108,Queuing traffic,294.78,10,8,53,6,21.0285,307.629015818,105.8048,2,39,70.0,242.165,240.315,Moderate,1014,74.555,295.14,5,5.0,10000,overcast clouds,Clouds,133,2.5
fd1f6a8855463b2e00ecf0e15ee96453,da nang,20,1050.8,2025-01-07,192.0,101,Stationary traffic,298.51,10,8,69,6,16.0454,149.8298601973,108.2096,3,20,101.0,117.66,115.07,Low,1013,18.685,298.15,4,4.0,10000,few clouds,Clouds,90,3.09
c7b184f92f9fb19b0e707d9153dc49d9,ha noi,100,2651.05,2025-01-07,81.0,115,Slow traffic,294.73,10,8,51,6,21.0285,1065.9027242549,105.8048,1,28,52.0,242.905,240.315,Moderate,1014,68.635,295.14,5,5.0,10000,overcast clouds,Clouds,131,2.14
7bd0adf90ded94623d5bde9ff669eaa6,ho chi minh city,40,3516.85,2025-01-07,126.0,115,Slow traffic,306.31,10,8,67,6,10.7626,320.4841271946,106.6602,1,35,42.0,155.03,153.365,High,1008,93.425,302.62,5,8.0,10000,scattered clouds,Clouds,160,4.12
1da329c3c1d1d1e9d21289c441810041,ho chi minh city,40,3516.85,2025-01-07,181.0,101,Stationary traffic,306.52,10,8,68,6,10.7626,319.4729390035,106.6602,3,56,42.0,155.03,153.365,High,1008,93.425,302.62,5,8.0,10000,scattered clouds,Clouds,160,4.12
915ff4e65e1ac166c6f71afc2ca98035,da nang,20,1050.8,2025-01-07,179.0,115,Slow traffic,297.41,10,8,69,6,16.0454,934.5326828579,108.2096,1,56,101.0,117.66,115.07,Low,1013,18.685,297.15,4,4.0,10000,few clouds,Clouds,90,3.09
d92cd3da4ddb087b24fbe774b99fa517,ho chi minh city,40,3516.85,2025-01-07,406.0,101,Stationary traffic,307.1,10,8,65,6,10.7626,475.3552784267,106.6602,3,12,42.0,155.03,153.365,High,1008,93.425,303.18,5,8.0,9000,scattered clouds,Clouds,180,2.68
30996f0528c7dd522c8b1af1353d2bb2,ho chi minh city,40,3516.85,2025-01-07,23.0,108,Queuing traffic,307.32,10,8,66,6,10.7626,72.2563077837,106.6602,2,30,42.0,155.03,153.365,High,1008,93.425,303.18,5,8.0,10000,scattered clouds,Clouds,160,4.12
fb88f749c7e42ece7a54e3328aa2da22,da nang,20,1050.8,2025-01-07,93.0,108,Queuing traffic,298.39,10,8,65,6,16.0471,219.3314175944,108.2062,2,41,101.0,117.66,115.07,Low,1014,18.685,298.14,4,4.0,10000,few clouds,Clouds,90,3.6
6168ea24bfe14914e000528877d7cf9a,da nang,20,1050.8,2025-01-07,249.0,108,Queuing traffic,297.4,10,8,69,6,16.0471,893.8951294476,108.2062,2,49,101.0,117.66,115.07,Low,1014,18.685,297.14,4,4.0,10000,few clouds,Clouds,90,3.09
bf82b6cdda5cea80a0dc24cb55b11438,ho chi minh city,40,3516.85,2025-01-07,149.0,101,Stationary traffic,307.55,10,8,67,6,10.7626,173.1810807664,106.6602,3,42,42.0,155.03,153.365,High,1008,93.425,303.18,5,8.0,10000,scattered clouds,Clouds,160,4.12
887f312ce992aba30b7ae4d24da7a6d0,ho chi minh city,40,3516.85,2025-01-07,135.0,115,Slow traffic,306.31,10,8,67,6,10.7626,660.7944006577,106.6602,1,40,42.0,155.03,153.365,High,1008,93.425,302.62,5,8.0,10000,scattered clouds,Clouds,160,4.12
915ff4e65e1ac166c6f71afc2ca98035,da nang,20,1050.8,2025-01-07,179.0,115,Slow traffic,297.41,10,8,69,6,16.0454,934.5326828579,108.2096,1,56,101.0,117.66,115.07,Low,1013,18.685,297.15,4,4.0,10000,few clouds,Clouds,90,3.09
94a63c26f101e5e0b0cb68b60d954a79,da nang,20,1050.8,2025-01-07,154.0,101,Stationary traffic,298.4,10,8,65,6,16.0454,244.4172865721,108.2096,3,22,101.0,117.66,115.07,Low,1013,18.685,298.15,4,4.0,10000,few clouds,Clouds,90,3.6
